ETIQUETA,NUMERO ANTERIOR,TIPO,DESCRIPCIÓN,MODELO,SERIE
3796,COM024565,MONITOR/ PANTALLA LCD,"FACT AAA1F04F-BFFB-43BC-84B3-BDC889CDDACD MONITOR LED HP 27"" ELITEDISPLAY E273 TAMAÑO DE PANTALLA 27"" RELACIÓN ANCHO-ALTO 16:9 RESOLUCIÓN PP 5151",ELITEDISPLAY E273,S/N
3797,COM024566,MONITOR/ PANTALLA LCD,"FACT AAA1F04F-BFFB-43BC-84B3-BDC889CDDACD MONITOR LED HP 27"" ELITEDISPLAY E273 TAMAÑO DE PANTALLA 27"" RELACIÓN ANCHO-ALTO 16:9 RESOLUCIÓN PP 5151",ELITEDISPLAY E273,S/N
3798,COM024567,MONITOR/ PANTALLA LCD,"FACT AAA1F04F-BFFB-43BC-84B3-BDC889CDDACD MONITOR LED HP 27"" ELITEDISPLAY E273 TAMAÑO DE PANTALLA 27"" RELACIÓN ANCHO-ALTO 16:9 RESOLUCIÓN PP 5151",ELITEDISPLAY E273,S/N
3799,COM024568,MONITOR/ PANTALLA LCD,"FACT AAA1F04F-BFFB-43BC-84B3-BDC889CDDACD MONITOR LED HP 27"" ELITEDISPLAY E273 TAMAÑO DE PANTALLA 27"" RELACIÓN ANCHO-ALTO 16:9 RESOLUCIÓN PP 5151",ELITEDISPLAY E273,S/N
3800,COM024569,MONITOR/ PANTALLA LCD,"FACT AAA1F04F-BFFB-43BC-84B3-BDC889CDDACD MONITOR LED HP 27"" ELITEDISPLAY E273 TAMAÑO DE PANTALLA 27"" RELACIÓN ANCHO-ALTO 16:9 RESOLUCIÓN PP 5151",ELITEDISPLAY E273,S/N
3801,COM024570,MONITOR/ PANTALLA LCD,"FACT AAA1F04F-BFFB-43BC-84B3-BDC889CDDACD MONITOR LED HP 27"" ELITEDISPLAY E273 TAMAÑO DE PANTALLA 27"" RELACIÓN ANCHO-ALTO 16:9 RESOLUCIÓN PP 5151",ELITEDISPLAY E273,S/N
3802,COM024571,MONITOR/ PANTALLA LCD,"FACT AAA1F04F-BFFB-43BC-84B3-BDC889CDDACD MONITOR LED HP 27"" ELITEDISPLAY E273 TAMAÑO DE PANTALLA 27"" RELACIÓN ANCHO-ALTO 16:9 RESOLUCIÓN PP 5151",ELITEDISPLAY E273,S/N
3803,COM024572,MONITOR/ PANTALLA LCD,"FACT AAA1F04F-BFFB-43BC-84B3-BDC889CDDACD MONITOR LED HP 27"" ELITEDISPLAY E273 TAMAÑO DE PANTALLA 27"" RELACIÓN ANCHO-ALTO 16:9 RESOLUCIÓN PP 5151",ELITEDISPLAY E273,S/N
3804,COM024573,SERVIDOR, ,POWEREDGE R940,27JHVD3
3806,COM024609,DIADEMA,"FACT AAA1D89D-95B3-4B26-8819-FC9C18200508 DIADEMA COMPATIBLE CON TELÉFONOS IP, MICRÓFONOS CON TECNOLOGÍA DE CANCELACIÓN DE RUIDO Y AUDIO BANDA ANCHA PP 5151",S/N,65145-01
3807,COM024610,DIADEMA,"FACT AAA1D89D-95B3-4B26-8819-FC9C18200508 DIADEMA COMPATIBLE CON TELÉFONOS IP, MICRÓFONOS CON TECNOLOGÍA DE CANCELACIÓN DE RUIDO Y AUDIO BANDA ANCHA PP 5151",S/N,65145-02
3808,COM024611,DIADEMA,"FACT AAA1D89D-95B3-4B26-8819-FC9C18200508 DIADEMA COMPATIBLE CON TELÉFONOS IP, MICRÓFONOS CON TECNOLOGÍA DE CANCELACIÓN DE RUIDO Y AUDIO BANDA ANCHA PP 5151",S/N,65145-03
3809,COM024612,DIADEMA,"FACT AAA1D89D-95B3-4B26-8819-FC9C18200508 DIADEMA COMPATIBLE CON TELÉFONOS IP, MICRÓFONOS CON TECNOLOGÍA DE CANCELACIÓN DE RUIDO Y AUDIO BANDA ANCHA PP 5151",S/N,65145-04
3810,COM024613,DIADEMA,"FACT AAA1D89D-95B3-4B26-8819-FC9C18200508 DIADEMA COMPATIBLE CON TELÉFONOS IP, MICRÓFONOS CON TECNOLOGÍA DE CANCELACIÓN DE RUIDO Y AUDIO BANDA ANCHA PP 5151",S/N,65145-05
3811,COM024614,DIADEMA,"FACT AAA1D89D-95B3-4B26-8819-FC9C18200508 DIADEMA COMPATIBLE CON TELÉFONOS IP, MICRÓFONOS CON TECNOLOGÍA DE CANCELACIÓN DE RUIDO Y AUDIO BANDA ANCHA PP 5151",S/N,65145-06
3812,COM024615,DIADEMA,"FACT AAA1D89D-95B3-4B26-8819-FC9C18200508 DIADEMA COMPATIBLE CON TELÉFONOS IP, MICRÓFONOS CON TECNOLOGÍA DE CANCELACIÓN DE RUIDO Y AUDIO BANDA ANCHA PP 5151",S/N,65145-07
3813,COM024616,DIADEMA,"FACT AAA1D89D-95B3-4B26-8819-FC9C18200508 DIADEMA COMPATIBLE CON TELÉFONOS IP, MICRÓFONOS CON TECNOLOGÍA DE CANCELACIÓN DE RUIDO Y AUDIO BANDA ANCHA PP 5151",S/N,65145-08
3814,COM024617,DIADEMA,"FACT AAA1D89D-95B3-4B26-8819-FC9C18200508 DIADEMA COMPATIBLE CON TELÉFONOS IP, MICRÓFONOS CON TECNOLOGÍA DE CANCELACIÓN DE RUIDO Y AUDIO BANDA ANCHA PP 5151",S/N,65145-09
3815,COM024618,DIADEMA,"FACT AAA1D89D-95B3-4B26-8819-FC9C18200508 DIADEMA COMPATIBLE CON TELÉFONOS IP, MICRÓFONOS CON TECNOLOGÍA DE CANCELACIÓN DE RUIDO Y AUDIO BANDA ANCHA PP 5151",S/N,65145-10
3816,MOB043882,SILLA,"FACT PUE349 SILLA GAMER COLOR NEGRO, ACOGINADA   PP 5111",S/N,S/N
3817,MOB043883,SILLA,"FACT PUE349 SILLA GAMER COLOR NEGRO, ACOGINADA   PP 5111",S/N,S/N
3818,MOB043884,SILLA,"FACT PUE349 SILLA GAMER COLOR NEGRO, ACOGINADA   PP 5111",S/N,S/N
3819,MOB043885,SILLA,"FACT PUE349 SILLA GAMER COLOR NEGRO, ACOGINADA   PP 5111",S/N,S/N
3820,MOB043886,SILLA,"FACT PUE349 SILLA GAMER COLOR NEGRO, ACOGINADA   PP 5111",S/N,S/N
3821,MOB043887,SILLA,"FACT PUE349 SILLA GAMER COLOR NEGRO, ACOGINADA   PP 5111",S/N,S/N
3822,MOB043888,SILLA,"FACT PUE349 SILLA GAMER COLOR NEGRO, ACOGINADA   PP 5111",S/N,S/N
3823,MOB043889,SILLA,"FACT PUE349 SILLA GAMER COLOR NEGRO, ACOGINADA   PP 5111",S/N,S/N
3824,MOB043890,SILLA,"FACT PUE349 SILLA GAMER COLOR NEGRO, ACOGINADA   PP 5111",S/N,S/N
3827,MOB043893,SILLA,"FACT PUE349 SILLA GAMER COLOR NEGRO, ACOGINADA   PP 5111",S/N,S/N
3828,MOB043894,SILLA,"FACT PUE349 SILLA GAMER COLOR NEGRO, ACOGINADA   PP 5111",S/N,S/N
3829,MOB043895,SILLA,"FACT PUE349 SILLA GAMER COLOR NEGRO, ACOGINADA   PP 5111",S/N,S/N
3830,VEH002779,CAMIONETA,"ECO.742  FIAT DUCATO CARGO VAN  COLOR BLANCO MOTOR HECHO EN ITALIA VEHICULO 703,900.00 BLINDAJE 1,670,605.00 (EN COMODATO CON EL SISTEMA ESTATAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE TLAXCALA)",2021,ZFCNFFFK0M2S93391
3831,MAQ006710,SOFTWARE,FACT A3808 LICENCIA SOFTWARE PERMANENTE PARA PERSONALIZACION DE TARJETAS ASURE ID EXPRESS 7.PP 5971,S/N,S/N
3838,MAQ006717,SOFTWARE,"SIN COG - FACT A3809 LICENCIA DE VIDEO SYNOPSIS, ANÁLISIS DE CONTENIDO DE VIDEO QUE TRANSFORMA IMÁGENES EN INTELIGENCIA. CONTIENE: LICENCIA BRIEFCAM INVESTIGADOR, INSIGHTS   PP 5971",S/N,S/N
3839,COM024833,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3840,COM024834,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3841,COM024835,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3842,COM024836,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3843,COM024837,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3844,COM024838,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3845,COM024839,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3846,COM024840,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3847,COM024841,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3848,COM024842,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3849,COM024843,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3850,COM024844,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3851,COM024845,AURICULAR INALÁMBRICO,"FACT 1072 AURICULAR INALÁMBRICO CON BASE MAGNÉTICA DE CARGA, TIEMPO DE CONVERSACIÓN HASTA 13 HORAS, MONOAURAL, SEGURIDAD ENCRIPTACIÓN DIGITAL 64 BITS. PP 5151",S/N,S/N
3852,MAQ006722,SOFTWARE,SIN COG - FACT 1098 ANTIVIRUS ESET HOME OFFICE SECURITY PACK (PARA 450 EQUIPOS POR 3 AÑOS DE VIGENCIA)PP 5971,S/N,S/N
3853,MAQ006736,SOFTWARE,"SIN COG - FACT A3809 LICENCIA DE VIDEO Y SYNOPSIS, ANÁLISIS DE CONTENIDO DE VIDEO QUE TRANSFORMA IMÁGENES EN INTELIGENCIA ARTIFICIAL PERMITEN TRANSFORMAR VIDEO EN INTELIGENCIA 5971",S/N,S/N
3854,COM024861,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SKR
3855,COM024862,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SPQ
3856,COM024863,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SRY
3857,COM024864,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421ST5
3858,COM024865,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421STZ
3859,COM024866,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SVZ
3860,COM024867,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SW6
3861,COM024868,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SWG
3862,COM024869,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SWJ
3863,COM024870,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SWP
3864,COM024871,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SWT
3865,COM024872,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SWY
3866,COM024873,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SX1
3867,COM024874,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SX3
3868,COM024875,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SXB
3869,COM024876,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SXK
3871,COM024878,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SXM
3872,COM024879,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SXN
3873,COM024880,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SXY
3874,COM024881,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SXZ
3875,COM024882,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SY1
3876,COM024883,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SY2
3877,COM024884,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SY4
3878,COM024885,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SY5
3879,COM024886,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SY6
3880,COM024887,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SY8
3881,COM024888,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SYF
3882,COM024889,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SYG
3883,COM024890,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SYH
3884,COM024891,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SYN
3885,COM024892,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SYQ
3886,COM024893,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421SZ3
3887,COM024894,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421T1K
3888,COM024895,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421T1V
3889,COM024896,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421T2N
3890,COM024897,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421T2Q
3891,COM024898,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421T2R
3892,COM024899,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHE. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421T2Y
3893,COM024900,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421T3M
3894,COM024901,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421TC2
3895,COM024902,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421TC4
3896,COM024903,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421TC5
3897,COM024904,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421TCD
3898,COM024905,EQUIPO DE CÓMPUTO,FACT A183 COMPUTADORA ALL IN ONE HP 200 G4 PROCESADOR INTEL CORE I5-10210 HASTA 4.2 GHZ/6MB CACHÉ. DISCO DURO:256 GB SSD M.2 MEMORIA RAM:8GB PP 5151,200 G4,8CC1421TCJ
24978,COM018674,EQUIPO DE SEGURIDAD,"INFORMATICA (FIREWALL, IPS, ANTISPAM) HARDWARE PLUS  1 YEAR 8X5 FORTICARE AD FORTIGUARD BUNDLE LICENCIA",FG-100-BDL,FG100D3G15816784
24979,COM018675,EQUIPO DE SEGURIDAD,"INFORMATICA (FIREWALL, IPS, ANTISPAM) HARDWARE PLUS  1 YEAR 8X5 FORTICARE AD FORTIGUARD BUNDLE LICENCIA",FG-100-BDL,FG100D3G15816698
24980,COM018676,EQUIPO DE SEGURIDAD,"INFORMATICA (FIREWALL, IPS, ANTISPAM) HARDWARE PLUS  1 YEAR 8X5 FORTICARE AD FORTIGUARD BUNDLE LICENCIA",FG-100-BDL,FG100D3G15816840
24981,COM018677,EQUIPO DE SEGURIDAD,"INFORMATICA (FIREWALL, IPS, ANTISPAM) HARDWARE PLUS  1 YEAR 8X5 FORTICARE AD FORTIGUARD BUNDLE LICENCIA",FG-100-BDL,FG100D3G15816094
24982,COM018678,EQUIPO DE SEGURIDAD,"INFORMATICA (FIREWALL, IPS, ANTISPAM) HARDWARE PLUS  1 YEAR 8X5 FORTICARE AD FORTIGUARD BUNDLE LICENCIA",FG-100-BDL,FG100D3G15815846
24983,COM018679,EQUIPO DE SEGURIDAD,"INFORMATICA (FIREWALL, IPS, ANTISPAM) HARDWARE PLUS  1 YEAR 8X5 FORTICARE AD FORTIGUARD BUNDLE LICENCIA",FG-100-BDL,FG100D3G15816551
24984,COM018680,EQUIPO DE SEGURIDAD,"INFORMATICA (FIREWALL, IPS, ANTISPAM) HARDWARE PLUS  1 YEAR 8X5 FORTICARE AD FORTIGUARD BUNDLE LICENCIA",FG-100-BDL,FG100D3G15816366
24985,COM018681,EQUIPO DE SEGURIDAD,"INFORMATICA (FIREWALL, IPS, ANTISPAM) HARDWARE PLUS  1 YEAR 8X5 FORTICARE AD FORTIGUARD BUNDLE LICENCIA",FG-100-BDL,FG100D3G15812510
